Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent
2016,2016-04,3,,102.5,110712,,,CSS,262041,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.203944491,"CNRL Wolf Lake, Primrose, and Burnt Lake",16534.1,1625690.3,2.2
2019,2019-05,6,,76.3,53820,3004.9,,SAGD,278720,COPSM,ConocoPhillips,Athabasca,2.579661423,Surmont,6598.4,719002.2,1.1
2019,2019-10,8,,2.5,64022,,,SAGD,279007,HSESR,Husky,Athabasca,3.195681322,Sunrise,1214.2,891616.5,
2018,2018-11,3,,247.5,117504,,17411.4,CSS,281690,CNRLWL,Canadian Natural Resources Limited,Cold Lake,7.114224543,"CNRL Wolf Lake, Primrose, and Burnt Lake",10836.6,2004005.2,
2018,2018-04,3,,125.4,119586,,13124.8,CSS,282735,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.914012262,"CNRL Wolf Lake, Primrose, and Burnt Lake",17081,1954829.8,6.1
2018,2018-12,8,,53.4,72726,,,SAGD,284788,HSESR,Husky,Athabasca,3.643069456,Sunrise,1597.4,1037502.1,
2019,2019-02,3,,43.8,124117,,18008.4,CSS,284854,CNRLWL,Canadian Natural Resources Limited,Cold Lake,7.500988577,"CNRL Wolf Lake, Primrose, and Burnt Lake",11023.8,2136685.1,9.2
2019,2019-06,3,,58.2,98060,,16634.2,CSS,286346,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.110822338,"CNRL Wolf Lake, Primrose, and Burnt Lake",10952.4,1749807.7,
2019,2019-07,3,,59.6,105856,,16219.5,CSS,286637,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.723251864,"CNRL Wolf Lake, Primrose, and Burnt Lake",8645.8,1927131.4,
2019,2019-12,8,,0.4,59061,,,SAGD,286888,HSESR,Husky,Athabasca,2.858181939,Sunrise,1180.6,819978.1,
2015,2015-06,10,,24.7,52086,,,SAGD,290843,CNRLJF,Devon,Athabasca,2.576270068,Jackfish,1119.8,749289.6,2.5
2018,2018-03,3,,61.9,147015,,19137.2,CSS,292886,CNRLWL,Canadian Natural Resources Limited,Cold Lake,8.517723632,"CNRL Wolf Lake, Primrose, and Burnt Lake",17631.4,2494720.3,
2016,2016-03,6,,0.3,77453,,,SAGD,300863,COPSM,ConocoPhillips,Athabasca,3.537837691,Surmont,1952,1064403.4,0.6
2018,2018-06,3,,41.2,130973,,16666.8,CSS,318459,CNRLWL,Canadian Natural Resources Limited,Cold Lake,7.244874299,"CNRL Wolf Lake, Primrose, and Burnt Lake",16831,2307194.7,
2018,2018-07,3,,182.9,117980,,17158.9,CSS,322952,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.571984648,"CNRL Wolf Lake, Primrose, and Burnt Lake",15303.5,2122432.3,
2018,2018-09,3,,1369.8,115845,,17463.5,CSS,323875,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.221710193,"CNRL Wolf Lake, Primrose, and Burnt Lake",14784.8,2015053.9,3.7
2019,2019-03,3,,29.8,135721,,17806.8,CSS,324543,CNRLWL,Canadian Natural Resources Limited,Cold Lake,7.397645861,"CNRL Wolf Lake, Primrose, and Burnt Lake",12541.6,2400856.4,6.3
2015,2015-05,3,,150.8,92200,,,CSS,324648,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.368545463,"CNRL Wolf Lake, Primrose, and Burnt Lake",14960.3,1418237.8,13.1
2019,2019-04,3,,53.2,129029,,16054,CSS,328905,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.858299291,"CNRL Wolf Lake, Primrose, and Burnt Lake",12694.3,2255730.3,7
2018,2018-02,3,,35.7,121820,,17966.3,CSS,329557,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.210958523,"CNRL Wolf Lake, Primrose, and Burnt Lake",16535.3,2046866.1,
2018,2018-12,3,,73.6,128118,,16765.9,CSS,331043,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.323377015,"CNRL Wolf Lake, Primrose, and Burnt Lake",15970.3,2093307.8,5.6
2017,2017-04,6,,9.2,81653,27.7,,SAGD,333165,COPSM,ConocoPhillips,Athabasca,3.41941393,Surmont,3511.9,1139228.7,40.8
2018,2018-10,3,,1241,125437,,18397.8,CSS,334629,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.541154831,"CNRL Wolf Lake, Primrose, and Burnt Lake",14328,2188860.1,7.4
2016,2016-08,3,,261.4,127245,,14787.9,CSS,335189,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.652994969,"CNRL Wolf Lake, Primrose, and Burnt Lake",17218.7,2230009.4,
2017,2017-06,3,,65.2,114613,,3850.4,CSS,338631,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.806242012,"CNRL Wolf Lake, Primrose, and Burnt Lake",13887.2,1966174.7,2.1
2018,2018-05,3,,61.5,136736,,17455.6,CSS,339391,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.834052562,"CNRL Wolf Lake, Primrose, and Burnt Lake",20926.7,2319417.3,
2016,2016-04,6,,,83486,,,SAGD,340063,COPSM,ConocoPhillips,Athabasca,3.568230847,Surmont,2655.1,1213424,6.6
2019,2019-08,3,,1401.9,111321,,17116.1,CSS,340605,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.95088563,"CNRL Wolf Lake, Primrose, and Burnt Lake",12088.1,2026901.4,
2016,2016-03,3,,88.5,118342,,,CSS,340974,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.989532642,"CNRL Wolf Lake, Primrose, and Burnt Lake",19162.4,1701302.4,
2016,2016-09,3,,118.9,124547,,17705.3,CSS,343756,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.430197457,"CNRL Wolf Lake, Primrose, and Burnt Lake",16905.4,2210419.6,14.2
2015,2015-06,3,,245.6,104750,,,CSS,349879,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.559833771,"CNRL Wolf Lake, Primrose, and Burnt Lake",13850.9,1595387.8,1.8
2019,2019-06,10,,72.6,67438,3452.1,,SAGD,350477,CNRLJF,Devon,Athabasca,2.478073001,Jackfish,10691.2,868506.6,
2015,2015-02,10,,6.3,62644,,,SAGD,357131,CNRLJF,Devon,Athabasca,2.461699661,Jackfish,1374.9,879150,
2018,2018-06,10,,68.7,65058,1807.1,,SAGD,357432,CNRLJF,Devon,Athabasca,2.358347121,Jackfish,9828.1,842949.2,
2016,2016-07,6,,46.2,96564,,,SAGD,361939,COPSM,ConocoPhillips,Athabasca,3.810976368,Surmont,3017.1,1379342.5,
2017,2017-05,3,,111.1,126181,,12919.4,CSS,364321,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.249284286,"CNRL Wolf Lake, Primrose, and Burnt Lake",14593.9,2276748,5.6
2017,2017-09,3,,28.6,129146,,16700.9,CSS,365134,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.340891115,"CNRL Wolf Lake, Primrose, and Burnt Lake",13936.9,2315272.4,0.2
2018,2018-01,3,,50.1,128857,,19768.4,CSS,366664,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.87733596,"CNRL Wolf Lake, Primrose, and Burnt Lake",19144.9,2155008.1,
2016,2016-02,3,,303.9,112352,,,CSS,366720,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.397395994,"CNRL Wolf Lake, Primrose, and Burnt Lake",18169.7,1612611.3,
2017,2017-07,10,,376.6,62255,452.1,,SAGD,370243,CNRLJF,Devon,Athabasca,2.050988405,Jackfish,9330.7,759364.1,0.3
2018,2018-08,3,,60.3,132939,,17069.5,CSS,370655,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.34426705,"CNRL Wolf Lake, Primrose, and Burnt Lake",16998.1,2351532.4,16
2019,2019-05,3,,34.8,131628,,17547.3,CSS,374803,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.264492209,"CNRL Wolf Lake, Primrose, and Burnt Lake",14430.3,2347951.1,
2017,2017-07,3,,37.2,132972,,18317.2,CSS,380296,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.270576362,"CNRL Wolf Lake, Primrose, and Burnt Lake",14737.3,2384672.6,0.9
2017,2017-06,10,,47.9,65507,1224.3,,SAGD,382091,CNRLJF,Devon,Athabasca,2.25967224,Jackfish,10470.9,863400.2,8.3
2015,2015-01,10,,4.7,68957,,,SAGD,383867,CNRLJF,Devon,Athabasca,2.518968018,Jackfish,1477.9,966949.2,0.5
2017,2017-10,3,,107.3,134789,,18370.1,CSS,388958,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.104894589,"CNRL Wolf Lake, Primrose, and Burnt Lake",16088.8,2374548.2,20
2015,2015-04,10,,6.5,70392,,,SAGD,391681,CNRLJF,Devon,Athabasca,2.648892249,Jackfish,1507.9,1037520.5,
2017,2017-08,3,,98.3,138951,,17488.8,CSS,395526,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.201645912,"CNRL Wolf Lake, Primrose, and Burnt Lake",18272,2452909.1,
2016,2016-10,3,,814.9,124984,,14812.3,CSS,401097,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.401435714,"CNRL Wolf Lake, Primrose, and Burnt Lake",18592.9,2166497.5,22.4
2017,2017-03,3,,56,136535,,19738,CSS,401812,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.895758189,"CNRL Wolf Lake, Primrose, and Burnt Lake",19144.1,2368985.8,22.9
2015,2015-03,10,,3.2,69038,,,SAGD,402879,CNRLJF,Devon,Athabasca,2.509565768,Jackfish,1551.1,1011052.1,
2015,2015-05,10,,4.4,72657,,,SAGD,403012,CNRLJF,Devon,Athabasca,2.665385978,Jackfish,1551.6,1074183.6,
2017,2017-05,2,,32.5,57517,941.2,13433.1,SAGD,404196,SUFB,Suncor,Athabasca,2.378413878,Firebag,766,961344.9,
2017,2017-11,3,,66.4,136069,,18729.3,CSS,404363,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.801112616,"CNRL Wolf Lake, Primrose, and Burnt Lake",17802.1,2345752.4,2.8
2017,2017-02,3,,71.4,117316,,17723.7,CSS,407088,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.037579307,"CNRL Wolf Lake, Primrose, and Burnt Lake",17274.8,2050740.1,3.4
2019,2019-09,3,,90.5,124100,,16429.6,CSS,408483,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.360149803,"CNRL Wolf Lake, Primrose, and Burnt Lake",14083.9,2189529,8.4
2016,2016-06,10,,3.9,64851,261.9,,SAGD,409006,CNRLJF,Devon,Athabasca,2.286086547,Jackfish,1574.6,935023.8,
2017,2017-12,3,,49.4,142172,,19648.6,CSS,412765,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.854309489,"CNRL Wolf Lake, Primrose, and Burnt Lake",19615,2416452.3,
2018,2018-07,10,,143.3,79470,2728.9,,SAGD,412870,CNRLJF,Devon,Athabasca,2.4802067,Jackfish,10524.9,1024001.7,
2018,2018-11,10,,17.7,92154,2954.3,,SAGD,414706,CNRLJF,Devon,Athabasca,2.975370968,Jackfish,9792.5,1233903.3,13.9
2019,2019-11,3,,32.7,121779,,17949.1,CSS,425195,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.988697419,"CNRL Wolf Lake, Primrose, and Burnt Lake",16203.9,2121168.7,
2016,2016-11,3,,69.7,133354,,18622.6,CSS,429029,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.407047084,"CNRL Wolf Lake, Primrose, and Burnt Lake",18670.7,2319777.3,5.5
2016,2016-08,6,,0.1,96640,,,SAGD,430531,COPSM,ConocoPhillips,Athabasca,3.269538654,Surmont,3694.9,1407638.4,9.8
2015,2015-09,3,,107.9,125252,,,CSS,438957,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.26084202,"CNRL Wolf Lake, Primrose, and Burnt Lake",19305.9,1870324.3,4.5
2016,2016-09,6,,0.2,98696,,,SAGD,439056,COPSM,ConocoPhillips,Athabasca,3.267644158,Surmont,3592.1,1434679.1,
2016,2016-12,3,,153.3,132877,,20314.3,CSS,443256,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.139690802,"CNRL Wolf Lake, Primrose, and Burnt Lake",17926.4,2278199.3,
2015,2015-07,10,,3.6,78356,,,SAGD,443661,CNRLJF,Devon,Athabasca,2.540102655,Jackfish,1708.2,1126945.5,
2015,2015-09,10,,5.3,73299,,,SAGD,444069,CNRLJF,Devon,Athabasca,2.304818063,Jackfish,1709.7,1023497.1,
2017,2017-01,3,,110.4,133267,,19918.6,CSS,447220,CNRLWL,Canadian Natural Resources Limited,Cold Lake,5.186747238,"CNRL Wolf Lake, Primrose, and Burnt Lake",18373.2,2319617.1,1.7
2019,2019-02,10,,53.9,87533,6357.6,,SAGD,447821,CNRLJF,Devon,Athabasca,2.589811961,Jackfish,14358.6,1159772.7,
2018,2018-12,10,,34.6,96606,4104.9,,SAGD,450924,CNRLJF,Devon,Athabasca,2.861295128,Jackfish,10468.2,1290225.5,
2019,2019-08,10,,194.3,90355,4312.9,,SAGD,451189,CNRLJF,Devon,Athabasca,2.57901183,Jackfish,14782.1,1163622.8,2.1
2015,2015-04,3,,53.6,125351,,,CSS,452158,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.269117288,"CNRL Wolf Lake, Primrose, and Burnt Lake",19164.7,1930313.4,
2015,2015-11,3,,83.1,132205,,,CSS,453171,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.153832405,"CNRL Wolf Lake, Primrose, and Burnt Lake",19586.3,1882396.8,
2019,2019-07,10,,29.8,93870,6604.4,,SAGD,455434,CNRLJF,Devon,Athabasca,2.713215181,Jackfish,12090.8,1235689.9,
2015,2015-11,10,,2.3,76309,,,SAGD,468949,CNRLJF,Devon,Athabasca,2.340912343,Jackfish,1805.4,1097767.8,
2017,2017-03,6,,12.4,111510,314.6,,SAGD,469336,COPSM,ConocoPhillips,Athabasca,3.318359138,Surmont,4418.4,1557426.4,
2016,2016-01,3,,546.2,143469,,,CSS,470552,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.302463129,"CNRL Wolf Lake, Primrose, and Burnt Lake",20423.5,2024532.2,11.8
2015,2015-12,10,,1.7,79248,,,SAGD,471502,CNRLJF,Devon,Athabasca,2.414711248,Jackfish,1815.3,1138540.7,
2018,2018-08,10,,122.9,89670,3466.4,,SAGD,472128,CNRLJF,Devon,Athabasca,2.456391372,Jackfish,12475.4,1159730.9,19
2019,2019-05,10,,82.9,89741,7060.5,,SAGD,472927,CNRLJF,Devon,Athabasca,2.504609067,Jackfish,14081.7,1184496,
2016,2016-02,10,,1.7,77571,,,SAGD,473185,CNRLJF,Devon,Athabasca,2.392668784,Jackfish,1821.7,1132174.5,10.3
2015,2015-05,5,,50.5,61073,2389.3,17587.5,SAGD,474419,CVECL,Cenovus,Athabasca,2.36175751,Foster Creek,9541,1120462.4,
2016,2016-10,6,,,109125,,,SAGD,475924,COPSM,ConocoPhillips,Athabasca,3.310424614,Surmont,4578.8,1575509.2,1.2
2016,2016-01,10,,1.8,80099,,,SAGD,475965,CNRLJF,Devon,Athabasca,2.436355129,Jackfish,1832.5,1159620.5,5.3
2016,2016-11,6,,17.7,107063,2.2,,SAGD,476969,COPSM,ConocoPhillips,Athabasca,3.262525513,Surmont,4357.7,1556121.9,0.6
2019,2019-12,10,,187.1,94142,5174.8,,SAGD,478251,CNRLJF,Devon,Athabasca,2.600304192,Jackfish,13221.6,1243597.3,1.1
2015,2015-08,10,,2.4,84734,,,SAGD,480514,CNRLJF,Devon,Athabasca,2.503429351,Jackfish,1848.4,1202932.1,4.3
2019,2019-11,10,,335.4,98163,3609.1,,SAGD,480611,CNRLJF,Devon,Athabasca,2.620181028,Jackfish,16849.1,1259287.3,3.2
2015,2015-08,3,,128.5,137759,,,CSS,481635,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.439515102,"CNRL Wolf Lake, Primrose, and Burnt Lake",21258.6,2138226.3,24.8
2018,2018-09,10,,36,93200,2992.2,,SAGD,482863,CNRLJF,Devon,Athabasca,2.539503226,Jackfish,12883.6,1226232.4,1.8
2019,2019-04,10,,26.1,92950,8552.4,,SAGD,484072,CNRLJF,Devon,Athabasca,2.530151738,Jackfish,13851.7,1224774.6,1.6
2015,2015-10,3,,87.9,132498,,,CSS,485375,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.027244279,"CNRL Wolf Lake, Primrose, and Burnt Lake",19649.4,1954724.9,1.7
2015,2015-10,10,,4.8,77977,,,SAGD,488564,CNRLJF,Devon,Athabasca,2.292650467,Jackfish,1881,1120107.4,
2019,2019-01,10,,64,96014,6327.7,,SAGD,491565,CNRLJF,Devon,Athabasca,2.599452443,Jackfish,12951.9,1277800.1,
2019,2019-03,10,,41.5,96310,8098.1,,SAGD,495047,CNRLJF,Devon,Athabasca,2.577916175,Jackfish,14860.3,1276190.7,0.3
2016,2016-05,10,,7.1,77635,1439.3,,SAGD,509834,CNRLJF,Devon,Athabasca,2.206811392,Jackfish,1962.9,1125107.7,26.9
2017,2017-02,6,,42.5,109382,258.2,,SAGD,511525,COPSM,ConocoPhillips,Athabasca,3.033620482,Surmont,4751.9,1551771.2,5.1
2018,2018-02,10,,40,92028,616.2,,SAGD,512298,CNRLJF,Devon,Athabasca,2.373966886,Jackfish,11883.3,1216179.2,
2015,2015-07,3,,185.3,132344,,,CSS,513314,CNRLWL,Canadian Natural Resources Limited,Cold Lake,3.98424219,"CNRL Wolf Lake, Primrose, and Burnt Lake",21541.4,2045166.1,1.6
2018,2018-05,10,,96.3,95215,2264.6,,SAGD,514644,CNRLJF,Devon,Athabasca,2.468549352,Jackfish,14322.6,1270425.1,
2019,2019-12,3,,27.5,133873,,18855.2,CSS,517394,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.418847451,"CNRL Wolf Lake, Primrose, and Burnt Lake",19175.8,2286285.6,13
2016,2016-04,10,,9.4,77926,927.6,,SAGD,522928,CNRLJF,Devon,Athabasca,2.178332943,Jackfish,2013.3,1139110.2,12
2018,2018-04,10,,130.2,95683,1754.6,,SAGD,523032,CNRLJF,Devon,Athabasca,2.409057077,Jackfish,12544.4,1260013.7,
2019,2019-09,10,,17,100545,3274.1,,SAGD,524607,CNRLJF,Devon,Athabasca,2.532687809,Jackfish,17358.6,1328665.5,2.7
2015,2015-12,3,,88.6,149597,,,CSS,524735,CNRLWL,Canadian Natural Resources Limited,Cold Lake,4.161635941,"CNRL Wolf Lake, Primrose, and Burnt Lake",21030.6,2183757.7,1.6
2018,2018-10,10,,30.7,101814,2565.8,,SAGD,530167,CNRLJF,Devon,Athabasca,2.566536745,Jackfish,12968.4,1360693.6,1.5
2016,2016-03,10,,2.9,80296,839.1,,SAGD,532543,CNRLJF,Devon,Athabasca,2.222689644,Jackfish,2050.3,1183678.7,5.3
2016,2016-12,6,,5.7,115187,38.9,,SAGD,533556,COPSM,ConocoPhillips,Athabasca,3.052575372,Surmont,4156.1,1628719.6,15
2019,2019-10,10,,27.7,104934,3636.5,,SAGD,540723,CNRLJF,Devon,Athabasca,2.554345406,Jackfish,17981.9,1381192.8,1.2
2017,2017-01,6,,7.7,117677,212.4,,SAGD,544284,COPSM,ConocoPhillips,Athabasca,3.039229174,Surmont,4585.5,1654202.9,0.1
2016,2016-09,10,,3.3,84142,2958.9,,SAGD,551095,CNRLJF,Devon,Athabasca,2.261470708,Jackfish,2121.8,1246285.2,2.8
2016,2016-02,5,,119.3,100466,6646.8,23045.5,SAGD,551916,CVECL,Cenovus,Athabasca,2.956000567,Foster Creek,10913,1631464.6,4
2016,2016-11,10,,15.5,84794,1683.5,,SAGD,556935,CNRLJF,Devon,Athabasca,2.171633915,Jackfish,2144.2,1209458.5,25.4
2017,2017-06,2,,25.8,72563,901.9,43557,SAGD,557756,SUFB,Suncor,Athabasca,2.548755335,Firebag,928.3,1421584.6,6.5
2015,2015-06,5,,260.9,68349,2765.5,16107.7,SAGD,559203,CVECL,Cenovus,Athabasca,2.16659305,Foster Creek,8650.2,1211564.9,14.4
2015,2015-01,3,,133.6,140357,,,CSS,560185,CNRLWL,Canadian Natural Resources Limited,Cold Lake,3.640075168,"CNRL Wolf Lake, Primrose, and Burnt Lake",20685.9,2039116.6,11.9
2017,2017-05,5,,201.6,80755,2670.6,10444.5,SAGD,560938,CVECL,Cenovus,Athabasca,2.377076924,Foster Creek,9414.2,1333392.3,6.6
2018,2018-01,10,,33.9,96732,664.7,,SAGD,566322,CNRLJF,Devon,Athabasca,2.28818895,Jackfish,12826.2,1295852.2,0.1
2018,2018-03,10,,23.5,102931,1030.3,,SAGD,569474,CNRLJF,Devon,Athabasca,2.412466829,Jackfish,12649.8,1373838.1,13.9
2019,2019-02,6,,,112073,2792.6,,SAGD,569624,COPSM,ConocoPhillips,Athabasca,2.943275253,Surmont,4923.4,1676561.4,2.6
2017,2017-02,10,,17.2,88231,2074.6,,SAGD,570812,CNRLJF,Devon,Athabasca,2.049038353,Jackfish,11826.5,1169616.5,11.7
2017,2017-07,6,,0.1,123960,402.6,,SAGD,571196,COPSM,ConocoPhillips,Athabasca,3.174652431,Surmont,5256.7,1813347.5,0.7
2016,2016-08,10,,9.2,87410,2490.3,,SAGD,571924,CNRLJF,Devon,Athabasca,2.242967819,Jackfish,2201.9,1282807.8,2.9
2015,2015-02,5,,159.4,75026,3370.5,24737.4,SAGD,571949,CVECL,Cenovus,Athabasca,2.388968393,Foster Creek,10349.1,1366368.8,0.8
2019,2019-10,3,,68.7,130743,,17944.1,CSS,572924,CNRLWL,Canadian Natural Resources Limited,Cold Lake,3.980907237,"CNRL Wolf Lake, Primrose, and Burnt Lake",18333.5,2280756.9,
2017,2017-11,10,,26.1,96076,448.3,,SAGD,575430,CNRLJF,Devon,Athabasca,2.238558155,Jackfish,13875.1,1288132.4,10.9
2015,2015-03,3,,155.4,153423,,,CSS,576879,CNRLWL,Canadian Natural Resources Limited,Cold Lake,3.843559102,"CNRL Wolf Lake, Primrose, and Burnt Lake",22554.3,2217269.3,6
2017,2017-12,10,,23.9,101363,663.7,,SAGD,577189,CNRLJF,Devon,Athabasca,2.371525054,Jackfish,13099.6,1368817.7,1.2
2017,2017-05,10,,117.5,90630,1786,,SAGD,582202,CNRLJF,Devon,Athabasca,2.053418736,Jackfish,14079.6,1195504.7,
2016,2016-12,10,,4.1,86887,2149.3,,SAGD,582715,CNRLJF,Devon,Athabasca,2.17662954,Jackfish,2243.5,1268354.9,2.4
2016,2016-07,10,,2.1,88884,1890.4,,SAGD,583689,CNRLJF,Devon,Athabasca,2.273763923,Jackfish,2247.2,1327171.9,25.3
2016,2016-01,5,,80,100428,5970.3,24851.5,SAGD,590827,CVECL,Cenovus,Athabasca,3.066737663,Foster Creek,10349.2,1811910.8,
2017,2017-06,6,,11.4,126562,302.6,,SAGD,593873,COPSM,ConocoPhillips,Athabasca,3.113243162,Surmont,5652.7,1848869.5,7
2016,2016-04,5,,144.1,103664,5837.9,21312.7,SAGD,596241,CVECL,Cenovus,Athabasca,3.056619761,Foster Creek,11002.9,1822480.8,2.9
2015,2015-02,3,,94.2,127814,,,CSS,599473,CNRLWL,Canadian Natural Resources Limited,Cold Lake,3.014472378,"CNRL Wolf Lake, Primrose, and Burnt Lake",19763.5,1807094.8,17.5
2019,2019-05,1,,415.7,175678,,21228.6,CSS,602368,IMOCL,Imperial Oil Resources,Cold Lake,4.751070441,Cold Lake,29341.5,2861894.7,
2015,2015-11,5,,71,96627,6292.7,24473.9,SAGD,603674,CVECL,Cenovus,Athabasca,2.863075789,Foster Creek,9957.1,1728364.7,3.4
2018,2018-06,1,12427.6,422.9,164863,,34492,CSS,604568,IMOCL,Imperial Oil Resources,Cold Lake,4.492756315,Cold Lake,30782.6,2716176.7,29.8
2015,2015-12,5,,133.9,100405,5397.9,23811.2,SAGD,605247,CVECL,Cenovus,Athabasca,2.894084329,Foster Creek,11561,1751634.7,3.5
2017,2017-09,10,,19.8,98208,323.4,,SAGD,605750,CNRLJF,Devon,Athabasca,2.160703868,Jackfish,14219,1308846.8,1.9
2018,2018-04,6,,0.2,129561,1567.7,,SAGD,607758,COPSM,ConocoPhillips,Athabasca,3.149951107,Surmont,5688.4,1914408.3,9.9
2016,2016-10,10,,10.1,91328,3297.8,,SAGD,607762,CNRLJF,Devon,Athabasca,2.179665649,Jackfish,2339.8,1324717.3,1.5
2019,2019-09,6,,,145910,4931,,SAGD,610177,COPSM,ConocoPhillips,Athabasca,2.995405428,Surmont,30561,1827726,2.1
2017,2017-04,10,,19.6,91488,1805.7,,SAGD,611042,CNRLJF,Devon,Athabasca,1.974807951,Jackfish,15866.6,1206690.6,
2019,2019-01,6,,,117473,2801.1,,SAGD,611677,COPSM,ConocoPhillips,Athabasca,2.889231462,Surmont,5212.7,1767277.3,
2016,2016-05,5,,170.7,99155,4419.2,17454.8,SAGD,614053,CVECL,Cenovus,Athabasca,2.804021282,Foster Creek,11235.3,1721817.4,0.5
2017,2017-10,10,,22.7,102974,402.7,,SAGD,617021,CNRLJF,Devon,Athabasca,2.243981691,Jackfish,15139.1,1384584.5,9.1
2018,2018-02,6,,,127040,1345.9,,SAGD,618104,COPSM,ConocoPhillips,Athabasca,3.014538815,Surmont,5820.3,1863298.5,
2017,2017-01,10,,46.7,98491,2356.8,,SAGD,618565,CNRLJF,Devon,Athabasca,2.128290417,Jackfish,11832.3,1316486.6,
2016,2016-03,5,,103.2,110459,5234.9,23137.7,SAGD,619665,CVECL,Cenovus,Athabasca,3.040245597,Foster Creek,11267.6,1883934.7,11.1
2019,2019-06,6,,30.9,121398,3876.8,,SAGD,620079,COPSM,ConocoPhillips,Athabasca,2.748203495,Surmont,11072.4,1704103,
2017,2017-05,6,,18.1,121870,1.1,,SAGD,621551,COPSM,ConocoPhillips,Athabasca,2.867789064,Surmont,5646.3,1782476.3,35.2
2017,2017-08,10,,71.3,91569,175.7,,SAGD,623735,CNRLJF,Devon,Athabasca,1.940065704,Jackfish,13922.8,1210086.3,1.6
2018,2018-07,6,,211.2,118621,2157.4,,SAGD,627829,COPSM,ConocoPhillips,Athabasca,2.838096494,Surmont,5780.7,1781839,2.9
2017,2017-03,10,,38.9,97072,2176.8,,SAGD,629644,CNRLJF,Devon,Athabasca,2.007360513,Jackfish,16244.6,1263921.7,32.6
2016,2016-06,2,,25.8,84551,828.5,42046.8,SAGD,638563,SUFB,Suncor,Athabasca,2.347644899,Firebag,1230,1499118.7,
2019,2019-04,6,,12.8,118968,3761.6,,SAGD,639059,COPSM,ConocoPhillips,Athabasca,2.79664219,Surmont,6193.7,1787220.2,
2019,2019-11,6,,0.4,151641,5627.2,,SAGD,642031,COPSM,ConocoPhillips,Athabasca,2.935231748,Surmont,34180.4,1884508.6,0.8
2017,2017-09,6,,0.1,133405,1238.8,,SAGD,642388,COPSM,ConocoPhillips,Athabasca,3.080692691,Surmont,5867.3,1978999.4,4.5
2018,2018-05,1,20460.4,238,178338,,37133.1,CSS,645176,IMOCL,Imperial Oil Resources,Cold Lake,4.514155903,Cold Lake,34813.2,2912425.5,33
2019,2019-02,1,6724.6,292.7,186099,,42468.3,CSS,647000,IMOCL,Imperial Oil Resources,Cold Lake,4.471040013,Cold Lake,34745.4,2892761.1,3.5
2019,2019-07,6,,111.4,136473,4166.6,,SAGD,647453,COPSM,ConocoPhillips,Athabasca,2.880750634,Surmont,17457.1,1865149.2,
2015,2015-09,5,,131.9,94658,4305.9,13187.7,SAGD,647930,CVECL,Cenovus,Athabasca,2.476602117,Foster Creek,11081.4,1604665.8,2.8
