Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent,k_14
2019,2019-06,13,NA,0.1,19182,270.1,12.4,SAGD,78955,AOCLM,Athabasca Oil Corporation,Athabasca,3.972094266,Leismer,1146.5,313617.1,NA,12
2019,2019-09,13,NA,2.1,20703,479.2,15.7,SAGD,79367,AOCLM,Athabasca Oil Corporation,Athabasca,4.216508562,Leismer,1305,334652.9,NA,12
2016,2016-04,7,NA,58,11136,NA,33471.8,SAGD,79371,CNOOCLK,Nexen,Athabasca,5.021771231,LongLake,2369.9,398582,NA,12
2017,2017-09,18,NA,0.2,9858,145.4,2660.4,SAGD,79473,SUMR,Suncor,Athabasca,2.907398064,MackayRiver,79.5,231061.1,1.3,13
2019,2019-07,13,NA,NA,20887,366.1,13.3,SAGD,81063,AOCLM,Athabasca Oil Corporation,Athabasca,4.186821822,Leismer,1411,339395.5,NA,12
2019,2019-10,16,NA,55.1,13320,1190.9,2942.1,SAGD,81085,PGFLB,Pengrowth,Cold Lake,2.821639021,Lindbergh,356.7,228792.6,NA,13
2017,2017-07,11,NA,282.5,21065,NA,NA,SAGD,81324,HSETL,Husky,Cold Lake,2.847708495,TuckerLake,3878.4,231587.9,2.6,7
2018,2018-03,21,NA,NA,16845,177.8,NA,SAGD,81342,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.877652682,Hangingstone,386.6,234074.6,1,7
2015,2015-10,13,NA,3.9,18362,NA,25.9,SAGD,81388,AOCLM,Athabasca Oil Corporation,Athabasca,3.200755146,Leismer,306.8,260503.7,3.9,7
2018,2018-07,16,NA,75.2,16137,NA,2994.9,SAGD,81489,PGFLB,Pengrowth,Cold Lake,3.054144798,Lindbergh,262,248878.9,1,7
2019,2019-02,16,NA,4,15099,NA,3043.1,SAGD,81866,PGFLB,Pengrowth,Cold Lake,2.809220178,Lindbergh,309,229979.9,NA,13
2019,2019-08,13,NA,NA,21886,304.3,15,SAGD,81913,AOCLM,Athabasca Oil Corporation,Athabasca,4.309417599,Leismer,1643.3,352995.6,1.2,12
2018,2018-12,16,NA,12.3,14361,NA,3244.8,SAGD,82083,PGFLB,Pengrowth,Cold Lake,2.721339855,Lindbergh,650.3,223377.1,NA,13
2019,2019-02,13,NA,1.7,19910,NA,31.5,SAGD,82289,AOCLM,Athabasca Oil Corporation,Athabasca,3.727419992,Leismer,915.7,306723.8,NA,7
2019,2019-03,20,NA,71.4,17780,NA,NA,SAGD,82910,OSUM,Osum,Cold Lake,3.300709683,Orion,1459,273662.5,NA,7
2019,2019-04,13,NA,NA,19959,NA,17.2,SAGD,82931,AOCLM,Athabasca Oil Corporation,Athabasca,3.788203957,Leismer,1056,314160.3,NA,12
2016,2016-04,11,NA,0.4,26680,NA,NA,SAGD,83296,HSETL,Husky,Cold Lake,4.134036287,TuckerLake,3076.1,344349.1,1.2,12
2018,2018-08,16,NA,8.3,16417,NA,2988.3,SAGD,83764,PGFLB,Pengrowth,Cold Lake,3.012913708,Lindbergh,301.4,252372.8,2,7
2016,2016-02,7,NA,73.1,15417,NA,32726.1,SAGD,83900,CNOOCLK,Nexen,Athabasca,4.467263966,LongLake,2287.1,374803,NA,12
2017,2017-10,18,NA,NA,17264,NA,7.2,SAGD,84034,SUMR,Suncor,Athabasca,2.730988738,MackayRiver,84,229497,NA,13
2019,2019-07,16,NA,15.8,15885,NA,2927.7,SAGD,84194,PGFLB,Pengrowth,Cold Lake,2.876890716,Lindbergh,1538.8,242217.8,NA,7
2018,2018-12,13,NA,NA,20129,NA,27.9,SAGD,84757,AOCLM,Athabasca Oil Corporation,Athabasca,3.631438732,Leismer,344.8,307788.4,2.5,7
2019,2019-11,16,NA,63.4,13744,1201.1,3004.9,SAGD,84815,PGFLB,Pengrowth,Cold Lake,2.804037508,Lindbergh,709.7,237823.6,NA,7
2016,2016-03,7,NA,46.9,13384,NA,36024.8,SAGD,85146,CNOOCLK,Nexen,Athabasca,4.695014346,LongLake,2765.9,399763.1,1.1,12
2019,2019-04,16,NA,3.5,14698,NA,3072.2,SAGD,85169,PGFLB,Pengrowth,Cold Lake,2.701210656,Lindbergh,1272.7,230058.6,2.3,13
2019,2019-09,18,NA,NA,17506,267.5,NA,SAGD,85961,SUMR,Suncor,Athabasca,2.782663473,MackayRiver,86,239199.7,NA,7
2016,2016-03,11,NA,0.1,27394,NA,NA,SAGD,85999,HSETL,Husky,Cold Lake,4.123153328,TuckerLake,3233.1,354588.3,NA,12
2016,2016-02,13,NA,0.2,20489,5.2,29.1,SAGD,86091,AOCLM,Athabasca Oil Corporation,Athabasca,3.531944649,Leismer,544,304069,NA,7
2019,2019-08,16,NA,49.7,15063,187.6,2995.9,SAGD,86270,PGFLB,Pengrowth,Cold Lake,2.919450282,Lindbergh,525.1,251860.1,0.9,7
2019,2019-06,16,NA,6.9,16222,NA,2910,SAGD,86664,PGFLB,Pengrowth,Cold Lake,2.877765995,Lindbergh,1411.3,249399,1.3,7
2019,2019-12,16,NA,46.9,14889,1456,3289.5,SAGD,86916,PGFLB,Pengrowth,Cold Lake,2.952349285,Lindbergh,968.8,256605.8,1.3,7
2015,2015-04,13,NA,0.5,21342,31.3,10.2,SAGD,87099,AOCLM,Athabasca Oil Corporation,Athabasca,3.143791382,Leismer,597.1,273821.4,0.8,7
2015,2015-05,13,NA,1.6,21091,103.5,6.4,SAGD,87537,AOCLM,Athabasca Oil Corporation,Athabasca,3.1577906,Leismer,468.7,276423.2,NA,7
2019,2019-09,16,NA,47,14527,977,2935.8,SAGD,87650,PGFLB,Pengrowth,Cold Lake,2.908444743,Lindbergh,427.9,254924.6,NA,7
2019,2019-03,13,NA,NA,21045,NA,25,SAGD,87785,AOCLM,Athabasca Oil Corporation,Athabasca,3.760003372,Leismer,1133.4,330073.4,0.8,12
2019,2019-04,20,NA,139.4,17621,NA,NA,SAGD,87963,OSUM,Osum,Cold Lake,3.16047502,Orion,1552,278003.6,NA,7
2017,2017-06,11,NA,87.8,22494,NA,NA,SAGD,88052,HSETL,Husky,Cold Lake,2.904556832,TuckerLake,3798,255753.2,2.6,7
2016,2016-04,13,NA,6.6,19036,117,23.4,SAGD,88284,AOCLM,Athabasca Oil Corporation,Athabasca,3.209702595,Leismer,542.3,283364.1,0.8,7
2016,2016-01,8,NA,7.8,37723,NA,NA,SAGD,88582,HSESR,Husky,Athabasca,5.571501789,Sunrise,230.6,493533.1,NA,14
2018,2018-11,16,NA,6.1,15803,NA,3240.4,SAGD,88889,PGFLB,Pengrowth,Cold Lake,2.763149487,Lindbergh,905.1,245614.7,1.2,7
2019,2019-10,13,NA,1.5,21980,790.8,22.1,SAGD,89020,AOCLM,Athabasca Oil Corporation,Athabasca,3.99115589,Leismer,1145.8,355291.5,NA,12
2019,2019-01,16,NA,3,16993,NA,3155.5,SAGD,89046,PGFLB,Pengrowth,Cold Lake,2.914690543,Lindbergh,461.1,259542.7,NA,7
2015,2015-06,13,NA,NA,20406,227,1.6,SAGD,89138,AOCLM,Athabasca Oil Corporation,Athabasca,3.051684022,Leismer,533.6,272020.4,NA,7
2018,2018-04,13,NA,24.6,18782,310.3,29.4,SAGD,89580,AOCLM,Athabasca Oil Corporation,Athabasca,3.105021679,Leismer,1426.4,278146.6,NA,7
2019,2019-03,16,NA,5.2,16218,NA,3036.7,SAGD,89925,PGFLB,Pengrowth,Cold Lake,2.75949429,Lindbergh,540.9,248147.8,0.8,7
2019,2019-05,16,NA,2.4,16525,NA,3091.2,SAGD,89950,PGFLB,Pengrowth,Cold Lake,2.809711851,Lindbergh,1824.2,252733.3,NA,7
2018,2018-10,16,NA,11.4,16159,NA,2989.9,SAGD,90500,PGFLB,Pengrowth,Cold Lake,2.75141851,Lindbergh,635.6,249003.1,1.5,7
2016,2016-03,13,NA,NA,20806,NA,28.4,SAGD,91224,AOCLM,Athabasca Oil Corporation,Athabasca,3.412777792,Leismer,529.9,311326.9,2.1,12
2017,2017-08,13,NA,5.6,20040,101.5,7.7,SAGD,92157,AOCLM,Athabasca Oil Corporation,Athabasca,3.342860894,Leismer,1206.1,308068.7,NA,12
2015,2015-01,13,NA,3,22352,NA,29.5,SAGD,92439,AOCLM,Athabasca Oil Corporation,Athabasca,3.059597333,Leismer,673.1,282825.2,NA,7
2015,2015-07,13,NA,5.9,21002,457.4,2.2,SAGD,92508,AOCLM,Athabasca Oil Corporation,Athabasca,2.993715104,Leismer,497.1,276941.1,35,7
2019,2019-08,20,NA,75.2,18999,NA,NA,SAGD,93728,OSUM,Osum,Cold Lake,3.09957782,Orion,2074.9,290516.3,1.3,7
2019,2019-01,13,NA,NA,22127,NA,33.5,SAGD,93760,AOCLM,Athabasca Oil Corporation,Athabasca,3.674057191,Leismer,779.7,344478.5,1.4,12
2017,2017-05,18,NA,NA,8967,NA,4724.5,SAGD,93914,SUMR,Suncor,Athabasca,3.497688316,MackayRiver,93.9,328482.6,0.5,12
2017,2017-06,13,NA,NA,20069,87.1,8.7,SAGD,94046,AOCLM,Athabasca Oil Corporation,Athabasca,3.329056707,Leismer,1286.1,313084.8,1.2,12
2019,2019-07,20,NA,17.5,19283,NA,NA,SAGD,94157,OSUM,Osum,Cold Lake,3.13035716,Orion,2337.8,294744.1,NA,7
2019,2019-11,13,NA,NA,21667,683.2,26.5,SAGD,94223,AOCLM,Athabasca Oil Corporation,Athabasca,3.650214278,Leismer,1015.9,343935.6,NA,12
2019,2019-09,20,NA,58.1,18804,NA,NA,SAGD,94495,OSUM,Osum,Cold Lake,3.082565128,Orion,1769.4,291287.3,1.2,7
2017,2017-02,11,NA,70.4,28955,NA,NA,SAGD,94554,HSETL,Husky,Cold Lake,3.863956672,TuckerLake,4264.5,365351.4,1.2,12
2015,2015-12,13,NA,0.5,20906,126.2,32.7,SAGD,94663,AOCLM,Athabasca Oil Corporation,Athabasca,3.184844912,Leismer,760,301485.7,NA,7
2019,2019-10,20,NA,155.8,18202,NA,NA,SAGD,94775,OSUM,Osum,Cold Lake,2.951572825,Orion,1921.1,279736.2,NA,7
2018,2018-01,13,NA,0.1,19833,232.6,35.9,SAGD,95383,AOCLM,Athabasca Oil Corporation,Athabasca,3.088020742,Leismer,1237.5,294545.3,1.2,7
2017,2017-09,13,NA,4,21033,107.8,14.6,SAGD,95633,AOCLM,Athabasca Oil Corporation,Athabasca,3.347661691,Leismer,1450.9,320147.6,1.2,12
2016,2016-09,11,NA,8.6,25732,NA,NA,SAGD,95640,HSETL,Husky,Cold Lake,3.42954905,TuckerLake,3266.7,328003.1,NA,12
2015,2015-08,13,NA,0.2,19143,NA,1.9,SAGD,95856,AOCLM,Athabasca Oil Corporation,Athabasca,3.019326847,Leismer,478.9,289421.5,0.8,7
2016,2016-03,8,NA,26,39098,NA,NA,SAGD,95874,HSESR,Husky,Athabasca,5.176380335,Sunrise,854.9,496277.7,0.6,14
2018,2018-09,13,NA,78.4,20243,342.6,20.5,SAGD,95910,AOCLM,Athabasca Oil Corporation,Athabasca,3.310218883,Leismer,1037.6,317482.1,NA,12
2019,2019-06,20,NA,37.1,19029,NA,NA,SAGD,95932,OSUM,Osum,Cold Lake,3.051274033,Orion,2446.7,292713.6,NA,7
2015,2015-09,13,NA,7.9,20193,0.4,21,SAGD,96179,AOCLM,Athabasca Oil Corporation,Athabasca,3.16107795,Leismer,407.9,304029,0.8,7
2016,2016-08,11,NA,2.9,26532,NA,NA,SAGD,96285,HSETL,Husky,Cold Lake,3.508856037,TuckerLake,3656.5,337848.8,1.6,12
2019,2019-01,21,NA,3,22733,204.3,NA,SAGD,96839,JCOS,Japan Canada Oil Sands Limited,Athabasca,3.030553711,Hangingstone,518,293476.7,0.7,7
2016,2016-05,11,NA,10.9,28239,NA,NA,SAGD,97076,HSETL,Husky,Cold Lake,3.759202851,TuckerLake,3373.6,364928,6.1,12
2018,2018-02,13,NA,0.1,19943,239.9,33.8,SAGD,97100,AOCLM,Athabasca Oil Corporation,Athabasca,3.087181077,Leismer,1330.1,299765.9,NA,7
2018,2018-10,13,NA,25.7,21741,228.4,22.3,SAGD,97463,AOCLM,Athabasca Oil Corporation,Athabasca,3.461724884,Leismer,1130.6,337389.4,NA,12
2017,2017-07,13,NA,NA,20394,95.7,7.4,SAGD,97465,AOCLM,Athabasca Oil Corporation,Athabasca,3.246310968,Leismer,1407.8,316400.4,0.7,12
2016,2016-07,11,NA,0.4,26913,NA,NA,SAGD,97796,HSETL,Husky,Cold Lake,3.51480946,TuckerLake,3300.4,343732.9,NA,12
2016,2016-07,7,NA,152.8,22974,NA,10009.9,SAGD,97981,CNOOCLK,Nexen,Athabasca,4.086343271,LongLake,1628.5,400384,NA,12
2019,2019-12,13,NA,NA,21339,683.2,31,SAGD,98946,AOCLM,Athabasca Oil Corporation,Athabasca,3.465355991,Leismer,957.6,342884.5,0.8,12
2016,2016-11,11,NA,87.9,26781,NA,NA,SAGD,99243,HSETL,Husky,Cold Lake,3.3754984,TuckerLake,3593.4,334992.9,0.8,12
2019,2019-05,20,NA,67.3,19039,NA,NA,SAGD,99494,OSUM,Osum,Cold Lake,2.947473267,Orion,2322.1,293256.2,NA,7
2016,2016-10,11,NA,4.7,27214,NA,NA,SAGD,99513,HSETL,Husky,Cold Lake,3.45553893,TuckerLake,3424.8,343870.7,NA,12
2017,2017-11,13,NA,0.2,21013,114.7,32.4,SAGD,99953,AOCLM,Athabasca Oil Corporation,Athabasca,3.173845534,Leismer,1663.2,317235.7,NA,12
2017,2017-05,13,NA,0.1,21960,96.2,17.4,SAGD,100183,AOCLM,Athabasca Oil Corporation,Athabasca,3.392349785,Leismer,1259.2,339855.1,0.8,12
2017,2017-02,13,NA,0.2,19554,66.6,29.3,SAGD,100598,AOCLM,Athabasca Oil Corporation,Athabasca,2.88473838,Leismer,1390.3,290199.2,NA,7
2015,2015-11,13,NA,2.9,21628,62.4,33.3,SAGD,100800,AOCLM,Athabasca Oil Corporation,Athabasca,3.089030204,Leismer,455.1,311372.7,NA,12
2016,2016-06,11,NA,5.1,27046,NA,NA,SAGD,100855,HSETL,Husky,Cold Lake,3.50390809,TuckerLake,3231,353386.3,NA,12
2018,2018-02,11,NA,2.9,32562,NA,NA,SAGD,100912,HSETL,Husky,Cold Lake,4.370779747,TuckerLake,2772.5,441065,NA,12
2018,2018-10,11,NA,735.7,28518,NA,NA,SAGD,101310,HSETL,Husky,Cold Lake,3.811481534,TuckerLake,607.1,386143.1,NA,12
2016,2016-02,8,NA,4.7,38002,NA,NA,SAGD,101704,HSESR,Husky,Athabasca,4.955024561,Sunrise,136.5,503947.8,NA,14
2017,2017-04,13,NA,NA,21847,73.5,23.6,SAGD,101751,AOCLM,Athabasca Oil Corporation,Athabasca,3.226365436,Leismer,1415.1,328287.2,NA,12
2018,2018-06,13,NA,1.2,20980,227.3,8.7,SAGD,101771,AOCLM,Athabasca Oil Corporation,Athabasca,3.138160455,Leismer,842.1,319373.1,NA,12
2016,2016-08,13,NA,NA,15437,NA,11.2,SAGD,102441,AOCLM,Athabasca Oil Corporation,Athabasca,2.301206454,Leismer,902.8,235737.2,NA,7
2019,2019-11,20,NA,22.5,20062,NA,NA,SAGD,102527,OSUM,Osum,Cold Lake,2.944025476,Orion,2544.7,301842.1,NA,7
2017,2017-10,13,NA,0.1,21513,122.1,26.7,SAGD,102964,AOCLM,Athabasca Oil Corporation,Athabasca,3.217268255,Leismer,1959.7,331261.2,NA,12
2019,2019-12,20,NA,101.8,19757,NA,NA,SAGD,103124,OSUM,Osum,Cold Lake,2.898220786,Orion,2541.7,298876.7,1.4,7
2018,2018-08,13,NA,10.3,21452,347,13.5,SAGD,103768,AOCLM,Athabasca Oil Corporation,Athabasca,3.161224854,Leismer,1176.4,328032.4,NA,12
2017,2017-12,13,NA,5.9,21924,206.8,29.1,SAGD,104162,AOCLM,Athabasca Oil Corporation,Athabasca,3.184422771,Leismer,1593.6,331696.8,NA,12
2016,2016-06,13,NA,3.8,20746,NA,16.5,SAGD,105226,AOCLM,Athabasca Oil Corporation,Athabasca,2.980000095,Leismer,845.1,313572,NA,12
2017,2017-01,13,NA,2.4,19832,75.4,31.9,SAGD,105342,AOCLM,Athabasca Oil Corporation,Athabasca,2.758276621,Leismer,1347.6,290562.1,NA,7
2017,2017-12,11,NA,568.5,32436,NA,NA,SAGD,105358,HSETL,Husky,Cold Lake,3.753251289,TuckerLake,4845.7,395435.8,NA,12
2019,2019-10,21,NA,3.3,19675,234.3,NA,SAGD,106636,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.634544871,Hangingstone,813.6,280936.8,14.3,7
2018,2018-07,13,NA,0.1,21629,327.1,7.7,SAGD,107114,AOCLM,Athabasca Oil Corporation,Athabasca,3.097032886,Leismer,1122.6,331736.2,NA,12
2019,2019-11,11,NA,NA,34398,NA,NA,SAGD,107354,HSETL,Husky,Cold Lake,4.457792247,TuckerLake,3024.9,478559.6,NA,14
2016,2016-12,11,NA,95.6,32841,NA,NA,SAGD,107368,HSETL,Husky,Cold Lake,3.87196837,TuckerLake,4116.6,415725.5,NA,12
2018,2018-04,11,NA,0.3,35203,NA,NA,SAGD,107586,HSETL,Husky,Cold Lake,4.432288462,TuckerLake,3089.2,476851.3,0.9,14
2019,2019-02,21,NA,7.1,20539,227.3,NA,SAGD,107627,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.502689855,Hangingstone,514.9,269356,NA,7
2015,2015-02,12,NA,17.1,19952,NA,NA,SAGD,107802,CNRLKB,CNRL,Athabasca,2.741869593,Kirby,312.5,295579.3,0.7,7
2018,2018-03,13,NA,0.1,22160,264.2,33.1,SAGD,108268,AOCLM,Athabasca Oil Corporation,Athabasca,3.066454477,Leismer,1626.1,331999.2,NA,12
2017,2017-01,11,NA,35.4,33390,NA,NA,SAGD,108607,HSETL,Husky,Cold Lake,4.045736378,TuckerLake,4667.1,439396.1,NA,12
2017,2017-11,11,NA,6.4,33033,NA,NA,SAGD,109162,HSETL,Husky,Cold Lake,3.800617799,TuckerLake,5591.7,414881.9,NA,12
2015,2015-06,6,NA,2.6,27256,NA,NA,SAGD,109612,COPSM,ConocoPhillips,Athabasca,3.066929048,Surmont,1337.5,336171,NA,12
2018,2018-01,11,NA,12.1,33975,NA,NA,SAGD,110215,HSETL,Husky,Cold Lake,4.192194138,TuckerLake,2895.1,462041,NA,12
2015,2015-01,6,NA,1.3,18857,NA,NA,SAGD,110468,COPSM,ConocoPhillips,Athabasca,2.006050643,Surmont,1232.7,221603.6,1.1,13
2017,2017-04,11,NA,15,30920,NA,NA,SAGD,110476,HSETL,Husky,Cold Lake,3.503245504,TuckerLake,4449.5,387024.2,NA,12
2017,2017-03,13,NA,3.8,22011,78.2,32.8,SAGD,110679,AOCLM,Athabasca Oil Corporation,Athabasca,2.956856392,Leismer,1338.1,327262.5,NA,12
2018,2018-10,21,NA,NA,19994,266,NA,SAGD,110750,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.506993203,Hangingstone,557.2,277650.5,NA,7
2019,2019-09,11,NA,NA,33516,NA,NA,SAGD,110904,HSETL,Husky,Cold Lake,4.076754878,TuckerLake,3926.5,452127.2,NA,12
2018,2018-03,11,NA,65.2,35057,NA,NA,SAGD,111414,HSETL,Husky,Cold Lake,4.229484419,TuckerLake,3001.2,471224.2,NA,12
2019,2019-08,11,NA,337,32180,NA,NA,SAGD,111528,HSETL,Husky,Cold Lake,3.855471013,TuckerLake,4426.8,429992.2,NA,12
2019,2019-07,11,NA,NA,32191,NA,NA,SAGD,111620,HSETL,Husky,Cold Lake,4.000396882,TuckerLake,3932.7,446524.3,0.7,12
2019,2019-02,11,NA,156.9,32690,NA,NA,SAGD,112338,HSETL,Husky,Cold Lake,3.905464036,TuckerLake,3778.4,438732.8,NA,12
2015,2015-07,6,NA,NA,28984,NA,NA,SAGD,112340,COPSM,ConocoPhillips,Athabasca,3.178430657,Surmont,1271.5,357064.9,NA,12
2018,2018-08,11,NA,12.4,32936,NA,NA,SAGD,112440,HSETL,Husky,Cold Lake,3.949448415,TuckerLake,3619.2,444074.4,NA,12
2019,2019-10,11,NA,NA,36490,NA,NA,SAGD,112577,HSETL,Husky,Cold Lake,4.504136284,TuckerLake,3596.6,507061.7,0.9,14
2015,2015-02,6,NA,0.1,22319,NA,NA,SAGD,112780,COPSM,ConocoPhillips,Athabasca,2.408539673,Surmont,1287.4,271633.9,NA,7
2016,2016-12,13,NA,1.1,20398,61.7,32.9,SAGD,113331,AOCLM,Athabasca Oil Corporation,Athabasca,2.635491052,Leismer,1704.9,298683.1,NA,7
2019,2019-05,11,NA,52.4,34093,NA,NA,SAGD,113366,HSETL,Husky,Cold Lake,4.162850126,TuckerLake,2869.4,471926.5,NA,14
2017,2017-09,11,NA,0.9,32268,NA,NA,SAGD,113384,HSETL,Husky,Cold Lake,3.584021703,TuckerLake,5175.8,406370,NA,12
2015,2015-03,12,NA,1.2,20938,NA,NA,SAGD,113567,CNRLKB,CNRL,Athabasca,2.7999086,Kirby,216.4,317976.1,NA,12
2015,2015-04,6,NA,6.4,24447,NA,NA,SAGD,113636,COPSM,ConocoPhillips,Athabasca,2.564463456,Surmont,1403.9,291414.6,NA,7
2015,2015-05,6,NA,0.1,27457,NA,NA,SAGD,113659,COPSM,ConocoPhillips,Athabasca,2.721639825,Surmont,1460.8,309337.5,NA,12
2016,2016-06,8,NA,31.7,44338,NA,NA,SAGD,114059,HSESR,Husky,Athabasca,5.160697988,Sunrise,556.3,588625.6,NA,14
2018,2018-06,21,NA,4.8,19956,130.2,NA,SAGD,114196,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.592720216,Hangingstone,574.9,296077.5,NA,7
2018,2018-05,11,NA,127.7,35619,NA,NA,SAGD,114474,HSETL,Husky,Cold Lake,4.214786201,TuckerLake,3201.8,482484.7,NA,14
2016,2016-11,13,NA,1.5,19694,30.6,26.7,SAGD,114606,AOCLM,Athabasca Oil Corporation,Athabasca,2.558825223,Leismer,1726.1,293255.7,NA,7
2017,2017-08,11,NA,51.5,32585,NA,NA,SAGD,114721,HSETL,Husky,Cold Lake,3.577534462,TuckerLake,4232.6,410416.9,NA,12
2019,2019-12,11,NA,NA,37036,NA,NA,SAGD,114985,HSETL,Husky,Cold Lake,4.451550426,TuckerLake,3990,511859.3,NA,14
2017,2017-03,11,NA,5,31951,NA,NA,SAGD,115000,HSETL,Husky,Cold Lake,3.534376236,TuckerLake,4462.9,406451.5,NA,12
2017,2017-10,11,NA,15.5,34524,NA,NA,SAGD,115222,HSETL,Husky,Cold Lake,3.840816167,TuckerLake,5672.7,442544.6,NA,12
2017,2017-05,11,NA,1,31087,NA,NA,SAGD,115466,HSETL,Husky,Cold Lake,3.279697678,TuckerLake,4983.6,378693.9,NA,12
2016,2016-09,13,NA,12,20751,NA,16.8,SAGD,115653,AOCLM,Athabasca Oil Corporation,Athabasca,2.74192865,Leismer,1199.7,317112,NA,12
2016,2016-07,18,NA,NA,13601,NA,5326.4,SAGD,115867,SUMR,Suncor,Athabasca,3.518882409,MackayRiver,115.9,407722.7,NA,12
2019,2019-08,18,NA,NA,17692,1242.1,1732.6,SAGD,116093,SUMR,Suncor,Athabasca,2.981110021,MackayRiver,116.1,346086.9,NA,12
2019,2019-06,11,NA,NA,33288,NA,NA,SAGD,116475,HSETL,Husky,Cold Lake,3.829656588,TuckerLake,3351,446060.4,NA,12
2018,2018-06,11,NA,3,35074,NA,NA,SAGD,116855,HSETL,Husky,Cold Lake,4.111552114,TuckerLake,2661.8,480454.6,1.1,14
2016,2016-07,13,NA,8.9,20978,NA,17.4,SAGD,117266,AOCLM,Athabasca Oil Corporation,Athabasca,2.711942817,Leismer,989.6,318019.5,NA,12
2016,2016-09,18,NA,NA,16197,NA,3787.5,SAGD,117875,SUMR,Suncor,Athabasca,2.898469393,MackayRiver,117.9,341656.5,NA,12
2015,2015-03,6,NA,NA,25754,NA,NA,SAGD,117884,COPSM,ConocoPhillips,Athabasca,2.646556485,Surmont,1292.4,311986.4,NA,12
2015,2015-08,6,NA,NA,38505,NA,NA,SAGD,119397,COPSM,ConocoPhillips,Athabasca,3.919904252,Surmont,187.8,468025.2,NA,14
2016,2016-10,13,NA,7.3,20867,3.9,29.7,SAGD,119849,AOCLM,Athabasca Oil Corporation,Athabasca,2.66326322,Leismer,1499.1,319189.7,NA,12
2018,2018-07,11,NA,179.7,34819,NA,NA,SAGD,120093,HSETL,Husky,Cold Lake,3.963327557,TuckerLake,3526.4,475967.5,2.3,14
2019,2019-01,11,NA,0.3,36246,NA,NA,SAGD,120214,HSETL,Husky,Cold Lake,4.099334272,TuckerLake,3370.1,492798.6,NA,14
2015,2015-01,12,NA,7.2,22137,NA,NA,SAGD,120624,CNRLKB,CNRL,Athabasca,2.721920918,Kirby,252,328327.9,NA,12
2019,2019-04,11,NA,0.1,34952,NA,NA,SAGD,121270,HSETL,Husky,Cold Lake,3.985840733,TuckerLake,3659.1,483364.5,NA,14
2018,2018-09,21,NA,8.6,17786,245.4,NA,SAGD,121652,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.110595798,Hangingstone,637.6,256758.2,1.2,7
2015,2015-05,12,NA,0.6,20962,NA,NA,SAGD,121681,CNRLKB,CNRL,Athabasca,2.783904636,Kirby,548.6,338748.3,NA,12
2019,2019-03,11,NA,8.6,36552,NA,NA,SAGD,121842,HSETL,Husky,Cold Lake,4.107168212,TuckerLake,3690.8,500426,NA,14
2015,2015-10,12,NA,9,18918,NA,NA,SAGD,121923,CNRLKB,CNRL,Athabasca,2.527771968,Kirby,324.7,308194.3,NA,12
2015,2015-03,18,NA,0.1,12129,73.3,3697.9,SAGD,122514,SUMR,Suncor,Athabasca,2.813336947,MackayRiver,122.5,344672.6,NA,12
2019,2019-12,21,NA,0.4,23710,163.9,NA,SAGD,123028,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.645852638,Hangingstone,1525.3,325512.9,NA,12
2019,2019-09,21,NA,3.1,19574,250.8,NA,SAGD,124264,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.409242603,Hangingstone,1279.3,299381.4,NA,7
2015,2015-06,12,NA,14.3,22061,NA,NA,SAGD,124316,CNRLKB,CNRL,Athabasca,2.83849171,Kirby,233,352868.8,NA,12
2019,2019-11,21,NA,NA,22313,159.8,NA,SAGD,124330,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.520290324,Hangingstone,1344.7,313348.2,51.4,12
2019,2019-07,12,NA,113.5,10866,NA,NA,SAGD,127111,CNRLKB,CNRL,Athabasca,4.522518561,Kirby,1043.3,574860.5,NA,14
2019,2019-02,12,NA,35,883,NA,NA,SAGD,128836,CNRLKB,CNRL,Athabasca,3.241626189,Kirby,1090.2,417638.8,NA,12
2019,2019-03,21,NA,4,21181,272.7,NA,SAGD,129308,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.326930275,Hangingstone,634.9,300890.7,NA,7
2019,2019-04,21,NA,0.2,19441,215.1,NA,SAGD,129703,JCOS,Japan Canada Oil Sands Limited,Athabasca,2.251508446,Hangingstone,757.6,292027.4,NA,7
2016,2016-04,8,NA,4.5,46131,NA,NA,SAGD,129752,HSESR,Husky,Athabasca,4.641647913,Sunrise,998.9,602263.1,20.4,14
2015,2015-04,12,NA,0.1,22016,NA,NA,SAGD,129953,CNRLKB,CNRL,Athabasca,2.67960161,Kirby,356.9,348222,NA,12
2016,2016-01,7,17.4,91.7,68259,NA,50791,SAGD,130470,CNOOCLK,Nexen,Athabasca,4.822242934,LongLake,2407.1,629159,58.5,14
2016,2016-08,7,NA,57.2,30541,NA,23419.2,SAGD,132366,CNOOCLK,Nexen,Athabasca,4.813525185,LongLake,1253.7,637149,NA,14
